name,description,url,category,subcategory,github_url,project_tags,production_ready,learning_value,sacred_circuits_relevance,domain_tags,notes
Three.js,JavaScript 3D library for WebGL rendering,https://threejs.org/,WebGL/3D,3D Engine,https://github.com/mrdoob/three.js,Orbs|Pantheon|Constellation,0.9,0.9,0.9,webgl|3d|rendering|animation,Core 3D engine for Spirit Sphere and Orb visualizations
Babylon.js,Powerful 3D engine with WebGL support,https://www.babylonjs.com/,WebGL/3D,3D Engine,https://github.com/BabylonJS/Babylon.js,Orbs|Pantheon,0.9,0.9,0.7,webgl|3d|game-engine|physics,Alternative 3D engine; heavier than Three.js
Pixi.js,Fast 2D WebGL renderer with Canvas fallback,https://pixijs.com/,WebGL/3D,2D Renderer,https://github.com/pixijs/pixi.js,Orbs|Constellation|Wall,0.9,0.8,0.8,webgl|2d|canvas|rendering,Excellent for card animations and 2D particle effects
Fabric.js,Canvas library with SVG-to-Canvas parser,http://fabricjs.com/,Canvas,Canvas Library,https://github.com/kangax/fabric.js,Constellation|Wall,0.9,0.8,0.6,canvas|svg|drawing|manipulation,Useful for card design tools
Paper.js,Vector graphics scripting framework,http://paperjs.org/,Canvas,Vector Graphics,https://github.com/paperjs/paper.js,Constellation|Orbs,0.8,0.8,0.6,canvas|vector|svg|drawing,Sacred geometry drawing potential
Two.js,Renderer-agnostic 2D drawing API,https://two.js.org/,Canvas,2D Drawing,https://github.com/jonobr1/two.js,Constellation|Orbs,0.7,0.7,0.6,svg|canvas|webgl|2d,Lightweight alternative for 2D sacred geometry
svg.js,Lightweight library for manipulating and animating SVG,https://svgjs.dev/,Canvas,SVG,https://github.com/wout/svg.js,Constellation|Wall,0.8,0.7,0.6,svg|animation|vector,SVG constellation and connection lines
heatmap.js,HTML5 canvas-based heatmaps,https://www.patrick-wied.at/static/heatmapjs/,Canvas,Heatmap,https://github.com/pa7/heatmap.js,Constellation,0.7,0.6,0.3,canvas|heatmap|visualization,Data visualization overlay
D3.js,Data-driven visualization library for HTML and SVG,https://d3js.org/,Data Visualization,General,https://github.com/d3/d3,Constellation|Wall,0.9,0.9,0.7,svg|data|charts|visualization,Knowledge graph and deity relationship mapping
Chart.js,Simple HTML5 charts using canvas,https://www.chartjs.org/,Data Visualization,Charts,https://github.com/chartjs/Chart.js,Wall|Constellation,0.9,0.9,0.5,canvas|charts|responsive,Dashboard charts for oracle analytics
