name,description,url,type,category,subcategory,project_tags,production_ready,learning_value,sacred_circuits_relevance,related_apis,use_cases,notes
AudioContext,Represents an audio-processing graph built from linked audio modules,https://developer.mozilla.org/en-US/docs/Web/API/AudioContext,api,Web Audio API,Context,Pantheon|Orbs|Ritual,1.0,1.0,1.0,BaseAudioContext|AudioDestinationNode|AudioListener,Audio pipeline initialization|Real-time audio processing,Core entry point for all Web Audio work
BaseAudioContext,Base definition for online and offline audio-processing graphs,https://developer.mozilla.org/en-US/docs/Web/API/BaseAudioContext,api,Web Audio API,Context,Pantheon|Orbs,0.9,0.8,0.6,AudioContext|OfflineAudioContext,Shared interface for audio contexts,Parent class - not instantiated directly
OfflineAudioContext,Audio context that renders to an AudioBuffer rather than speakers,https://developer.mozilla.org/en-US/docs/Web/API/OfflineAudioContext,api,Web Audio API,Context,Pantheon,0.9,0.7,0.7,AudioContext|AudioBuffer,Pre-rendering audio|Server-side audio processing,Useful for pre-processing deity voice effects
AudioNode,Base interface for audio-processing modules in the audio graph,https://developer.mozilla.org/en-US/docs/Web/API/AudioNode,api,Web Audio API,Base,Pantheon|Orbs,1.0,0.9,0.5,AudioContext|AudioParam,Building audio processing chains,Abstract base - all nodes inherit from this
AudioParam,Audio-related parameter that can be scheduled and automated over time,https://developer.mozilla.org/en-US/docs/Web/API/AudioParam,api,Web Audio API,Parameter,Pantheon|Orbs,1.0,0.9,0.8,AudioNode|GainNode|OscillatorNode,Smooth parameter transitions|Automation curves,Critical for smooth voice parameter changes
AudioParamMap,Map-like interface providing access to a group of AudioParam objects,https://developer.mozilla.org/en-US/docs/Web/API/AudioParamMap,api,Web Audio API,Parameter,Orbs,0.8,0.5,0.3,AudioWorkletNode|AudioParam,Accessing worklet parameters,Used with AudioWorkletNode
AudioBuffer,Short audio asset stored in memory from decoded audio data,https://developer.mozilla.org/en-US/docs/Web/API/AudioBuffer,api,Web Audio API,Buffer,Pantheon|Ritual,1.0,0.8,0.8,AudioBufferSourceNode|AudioContext,Loading oracle audio clips|Sound effect playback,Store deity voice samples and ambient sounds
PeriodicWave,Describes a periodic waveform shape for use with OscillatorNode,https://developer.mozilla.org/en-US/docs/Web/API/PeriodicWave,api,Web Audio API,Waveform,Orbs,0.8,0.7,0.5,OscillatorNode|AudioContext,Custom oscillator waveforms|Unique tone generation,Create unique sacred tone signatures
AudioDestinationNode,Final destination node representing the output device (speakers),https://developer.mozilla.org/en-US/docs/Web/API/AudioDestinationNode,api,Web Audio API,Destination,Pantheon|Orbs|Ritual,1.0,0.8,0.7,AudioContext|AudioNode,Audio output routing,Every audio graph ends here
MediaStreamAudioDestinationNode,Routes audio output to a WebRTC MediaStream instead of speakers,https://developer.mozilla.org/en-US/docs/Web/API/MediaStreamAudioDestinationNode,api,Web Audio API,Destination,Pantheon,0.7,0.6,0.4,MediaStream|AudioContext,Recording processed audio|WebRTC streaming,Could stream processed deity voice
OscillatorNode,Generates periodic waveforms (sine/triangle/square/sawtooth/custom),https://developer.mozilla.org/en-US/docs/Web/API/OscillatorNode,api,Web Audio API,Source Node,Orbs|Ritual,1.0,0.9,0.7,AudioScheduledSourceNode|PeriodicWave|GainNode,Tone generation|Ambient drones|Alert sounds,Sacred frequency generation for rituals
