name,description,url,category,popularity_score,project_tags,production_ready,learning_value,sacred_circuits_relevance,alternatives,domain_tags,notes
three.js,"Easy-to-use lightweight cross-browser general purpose 3D library with WebGL WebGPU SVG and CSS3D renderers",https://js.libhunt.com/three-js-alternatives,WebGL/3D,9.8,Orbs,true,high,high,"babylon.js|p5.js|playcanvas",webgl|3d|rendering|shaders,"Core rendering engine for Spirit Sphere animations"
babylon.js,"Powerful beautiful simple open game and rendering engine in a friendly JavaScript framework",https://js.libhunt.com/compare-babylon-js-vs-three-js,WebGL/3D,9.5,Orbs,true,high,high,"three.js|playcanvas|cesium",webgl|3d|game-engine|rendering,"Alternative 3D engine with built-in physics and XR"
PixiJS,"Fast 2D WebGL renderer with Canvas fallback for rich interactive graphics and games",https://js.libhunt.com/pixi-js-alternatives,Canvas,9.4,Orbs|Constellation,true,high,high,"phaser|konva|paper.js",webgl|canvas|2d|rendering,"Card animations and 2D effects layer"
p5.js,"Client-side JS platform for creative coding based on Processing principles",https://js.libhunt.com/three-js-alternatives,Canvas,9.0,Constellation|Orbs,true,high,medium,"processing|two.js|paper.js",creative-coding|canvas|education,"Rapid prototyping for visual experiments"
Phaser,"Fun free fast 2D game framework for HTML5 games supporting Canvas and WebGL",https://js.libhunt.com/phaser-alternatives,Game Engines,9.3,Orbs|Ritual,true,medium,medium,"melonjs|kaboom.js|kaplay",game|canvas|webgl|2d,"Interactive card game mechanics"
PlayCanvas,"Advanced 2D+3D graphics engine with physics animations and VR controller support",https://js.libhunt.com/engine-alternatives,Game Engines,8.5,Orbs|Ritual,true,medium,medium,"three.js|babylon.js|cocos",webgl|3d|game-engine|vr,"WebXR-ready 3D engine"
Matter.js,"2D rigid body physics engine for the web",https://js.libhunt.com/matter-js-alternatives,Game Engines,8.8,Orbs|Ritual,true,medium,medium,"cannon.js|rapier|planck.js",physics|2d|simulation,"Card physics interactions"
melonJS,"Fresh modern lightweight HTML5 game engine",https://js.libhunt.com/compare-melonjs-vs-kaboom,Game Engines,7.5,Orbs,true,medium,low,"phaser|kaboom.js|kaplay",game|2d|html5,"Lightweight game engine option"
KAPLAY,"JavaScript/TypeScript game library that feels like a game (successor to Kaboom.js)",https://js.libhunt.com/kaplay-alternatives,Game Engines,7.8,Orbs,true,medium,low,"phaser|melonjs|gdevelop",game|2d|typescript,"Modern game library"
GDevelop,"Free and easy game-making app with no-code visual editor",https://js.libhunt.com/gdevelop-alternatives,Game Engines,8.0,Orbs,true,low,low,"phaser|construct|rpgmaker",game|no-code|editor,"No-code game prototyping"
Impact,"Open source cross-platform game development framework",https://js.libhunt.com/categories/6583-game-engines,Game Engines,6.5,Orbs,false,low,low,"phaser|melonjs|cocos",game|2d|framework,"Legacy game framework"
Cocos,"Open source cross-platform game development framework",https://js.libhunt.com/compare-cocos-vs-gdevelop,Game Engines,8.0,Orbs,true,medium,low,"phaser|gdevelop|playcanvas",game|cross-platform|3d,"Cross-platform game engine"
GSAP,"Robust JavaScript toolset for high-performance animations across CSS SVG Canvas React Vue WebGL",https://js.libhunt.com/greensock-js-alternatives,Animation,9.7,Pantheon|Orbs,true,high,high,"anime.js|velocity|mo.js",animation|performance|timeline,"Primary animation engine for card reveals and transitions"
anime.js,"Lightweight JavaScript animation library for the modern web",https://js.libhunt.com/anime-alternatives,Animation,9.2,Pantheon|Orbs,true,high,high,"gsap|velocity|mo.js",animation|lightweight|svg,"Card flip and deity entrance animations"
Velocity,"Accelerated JavaScript animation library",https://js.libhunt.com/velocity-alternatives,Animation,8.0,Pantheon,true,medium,medium,"gsap|anime.js|mo.js",animation|performance|jquery,"Fast DOM animation fallback"
Mo.js,"Motion graphics toolbelt for the web",https://js.libhunt.com/greensock-js-alternatives,Animation,8.2,Pantheon|Constellation,true,high,high,"gsap|anime.js|particles.js",animation|motion-graphics|svg,"Sacred geometry motion effects"
animate.css,"Cross-browser library of CSS animations with just-add-water usage",https://js.libhunt.com/compare-greensock-js-vs-animate-css,Animation,9.0,Wall,true,medium,medium,"gsap|anime.js|magic.css",css|animation|utility,"Quick UI transition effects"
AutoAnimate,"Zero-config drop-in animation utility for smooth transitions",https://js.libhunt.com/auto-animate-alternatives,Animation,8.5,Wall|Pantheon,true,medium,medium,"gsap|framer-motion|vue-transitions",animation|auto|utility,"Automatic list and layout animations"
Effeckt.css,"Performant CSS transitions and animations collection",https://js.libhunt.com/categories/102-animations,Animation,6.5,Wall,false,low,low,"animate.css|magic.css",css|animation|effects,"Legacy CSS effects library"
barba.js,"Create badass fluid smooth transitions between pages",https://js.libhunt.com/categories/102-animations,Animation,8.0,Pantheon|Wall,true,medium,high,"swup|highway|turbo",page-transition|smooth|spa,"Oracle card page transitions"
tsParticles,"Highly customizable particle effects confetti and fireworks for React Vue Angular Svelte",https://js.libhunt.com/tsparticles-alternatives,Animation,8.8,Orbs|Pantheon,true,high,high,"particles.js|proton|canvas-confetti",particles|confetti|effects,"Spirit Sphere particle auras and card reveal effects"
particles.js,"Lightweight JavaScript library for creating particles",https://js.libhunt.com/particles-js-alternatives,Animation,8.5,Orbs,false,medium,medium,"tsparticles|proton",particles|canvas|background,"Legacy particle effects (use tsParticles instead)"
Dynamic.js,"JavaScript library to create physics-based animations",https://js.libhunt.com/categories/102-animations,Animation,6.0,Pantheon|Orbs,true,medium,medium,"gsap|popmotion|react-spring",animation|physics|dynamics,"Physics-based deity movement"
typicaljs,"Animated typing in ~400 bytes of JavaScript",https://js.libhunt.com/typical-alternatives,Animation,7.0,Wall,true,low,low,"typed.js|typewriter-effect",animation|typing|text,"Oracle text reveal effect"
motus,"Animation library that mimics CSS keyframes when scrolling",https://js.libhunt.com/motus-alternatives,Animation,6.5,Wall|Ritual,true,medium,low,"scrollmagic|gsap-scrolltrigger",animation|scroll|keyframes,"Scroll-driven animations"
D3.js,"Data-driven documents - visualize data using SVG Canvas and HTML web standards",https://js.libhunt.com/d3-alternatives,Data Visualization,9.9,Constellation,true,high,high,"echarts|chart.js|recharts",visualization|svg|data|bindng,"Constellation data visualization foundation"
Chart.js,"Simple HTML5 Charts using the canvas tag",https://js.libhunt.com/chart-js-alternatives,Data Visualization,9.5,Constellation,true,medium,medium,"echarts|recharts|apexcharts",chart|canvas|simple,"Quick chart widgets for dashboards"
Apache ECharts,"Free powerful charting and visualization library based on zrender canvas",https://js.libhunt.com/echarts-alternatives,Data Visualization,9.4,Constellation,true,high,medium,"d3.js|chart.js|highcharts",chart|canvas|interactive,"Rich interactive chart option"
Recharts,"Redefined chart library built with React and D3",https://js.libhunt.com/recharts-alternatives,Data Visualization,9.0,Constellation|Wall,true,high,medium,"victory|nivo|react-vis",chart|react|d3,"React-native charting for oracle dashboards"
c3,"D3-based reusable chart library for deeper web app integration",https://js.libhunt.com/c3-alternatives,Data Visualization,7.5,Constellation,true,medium,low,"chart.js|d3plus|nvd3",chart|d3|reusable,"Lightweight D3 chart wrapper"
dc.js,"Dimensional charting with crossfilter rendered using D3",https://js.libhunt.com/dc-js-alternatives,Data Visualization,7.0,Constellation,true,medium,low,"crossfilter|d3.js|echarts",chart|d3|crossfilter,"Multi-dimensional data exploration"
