api_name,example_name,example_url,usage_type,notes
WebGLRenderer,webgl_animation_keyframes,https://threejs.org/examples/#webgl_animation_keyframes,primary,Core rendering infrastructure
Scene,webgl_animation_keyframes,https://threejs.org/examples/#webgl_animation_keyframes,primary,Core rendering infrastructure
PerspectiveCamera,webgl_animation_keyframes,https://threejs.org/examples/#webgl_animation_keyframes,primary,PerspectiveCamera view projection
AnimationMixer,webgl_animation_keyframes,https://threejs.org/examples/#webgl_animation_keyframes,secondary,Animation playback controller
AnimationClip,webgl_animation_keyframes,https://threejs.org/examples/#webgl_animation_keyframes,secondary,
WebGLRenderer,webgl_animation_skinning_blending,https://threejs.org/examples/#webgl_animation_skinning_blending,primary,Core rendering infrastructure
Scene,webgl_animation_skinning_blending,https://threejs.org/examples/#webgl_animation_skinning_blending,primary,Core rendering infrastructure
PerspectiveCamera,webgl_animation_skinning_blending,https://threejs.org/examples/#webgl_animation_skinning_blending,primary,PerspectiveCamera view projection
AnimationMixer,webgl_animation_skinning_blending,https://threejs.org/examples/#webgl_animation_skinning_blending,secondary,Animation playback controller
AnimationClip,webgl_animation_skinning_blending,https://threejs.org/examples/#webgl_animation_skinning_blending,secondary,
WebGLRenderer,webgl_animation_skinning_additive_blending,https://threejs.org/examples/#webgl_animation_skinning_additive_blending,primary,Core rendering infrastructure
Scene,webgl_animation_skinning_additive_blending,https://threejs.org/examples/#webgl_animation_skinning_additive_blending,primary,Core rendering infrastructure
PerspectiveCamera,webgl_animation_skinning_additive_blending,https://threejs.org/examples/#webgl_animation_skinning_additive_blending,primary,PerspectiveCamera view projection
AnimationMixer,webgl_animation_skinning_additive_blending,https://threejs.org/examples/#webgl_animation_skinning_additive_blending,secondary,Animation playback controller
AnimationClip,webgl_animation_skinning_additive_blending,https://threejs.org/examples/#webgl_animation_skinning_additive_blending,secondary,
WebGLRenderer,webgl_animation_skinning_ik,https://threejs.org/examples/#webgl_animation_skinning_ik,primary,Core rendering infrastructure
Scene,webgl_animation_skinning_ik,https://threejs.org/examples/#webgl_animation_skinning_ik,primary,Core rendering infrastructure
PerspectiveCamera,webgl_animation_skinning_ik,https://threejs.org/examples/#webgl_animation_skinning_ik,primary,PerspectiveCamera view projection
AnimationMixer,webgl_animation_skinning_ik,https://threejs.org/examples/#webgl_animation_skinning_ik,secondary,Animation playback controller
AnimationClip,webgl_animation_skinning_ik,https://threejs.org/examples/#webgl_animation_skinning_ik,secondary,
WebGLRenderer,webgl_animation_skinning_morph,https://threejs.org/examples/#webgl_animation_skinning_morph,primary,Core rendering infrastructure
Scene,webgl_animation_skinning_morph,https://threejs.org/examples/#webgl_animation_skinning_morph,primary,Core rendering infrastructure
PerspectiveCamera,webgl_animation_skinning_morph,https://threejs.org/examples/#webgl_animation_skinning_morph,primary,PerspectiveCamera view projection
AnimationMixer,webgl_animation_skinning_morph,https://threejs.org/examples/#webgl_animation_skinning_morph,secondary,Animation playback controller
AnimationClip,webgl_animation_skinning_morph,https://threejs.org/examples/#webgl_animation_skinning_morph,secondary,
WebGLRenderer,webgl_animation_multiple,https://threejs.org/examples/#webgl_animation_multiple,primary,Core rendering infrastructure
Scene,webgl_animation_multiple,https://threejs.org/examples/#webgl_animation_multiple,primary,Core rendering infrastructure
PerspectiveCamera,webgl_animation_multiple,https://threejs.org/examples/#webgl_animation_multiple,primary,PerspectiveCamera view projection
AnimationMixer,webgl_animation_multiple,https://threejs.org/examples/#webgl_animation_multiple,secondary,Animation playback controller
AnimationClip,webgl_animation_multiple,https://threejs.org/examples/#webgl_animation_multiple,secondary,
WebGLRenderer,webgl_animation_walk,https://threejs.org/examples/#webgl_animation_walk,primary,Core rendering infrastructure
Scene,webgl_animation_walk,https://threejs.org/examples/#webgl_animation_walk,primary,Core rendering infrastructure
PerspectiveCamera,webgl_animation_walk,https://threejs.org/examples/#webgl_animation_walk,primary,PerspectiveCamera view projection
AnimationMixer,webgl_animation_walk,https://threejs.org/examples/#webgl_animation_walk,secondary,Animation playback controller
AnimationClip,webgl_animation_walk,https://threejs.org/examples/#webgl_animation_walk,secondary,
WebGLRenderer,webgl_batch_lod_bvh,https://threejs.org/examples/#webgl_batch_lod_bvh,primary,Core rendering infrastructure
Scene,webgl_batch_lod_bvh,https://threejs.org/examples/#webgl_batch_lod_bvh,primary,Core rendering infrastructure
PerspectiveCamera,webgl_batch_lod_bvh,https://threejs.org/examples/#webgl_batch_lod_bvh,primary,PerspectiveCamera view projection
BatchedMesh,webgl_batch_lod_bvh,https://threejs.org/examples/#webgl_batch_lod_bvh,primary,Batched draw calls for mixed geometries
BVHLoader,webgl_batch_lod_bvh,https://threejs.org/examples/#webgl_batch_lod_bvh,primary,Loads BVH format assets
LOD,webgl_batch_lod_bvh,https://threejs.org/examples/#webgl_batch_lod_bvh,secondary,
WebGLRenderer,webgl_camera,https://threejs.org/examples/#webgl_camera,primary,Core rendering infrastructure
Scene,webgl_camera,https://threejs.org/examples/#webgl_camera,primary,Core rendering infrastructure
PerspectiveCamera,webgl_camera,https://threejs.org/examples/#webgl_camera,primary,PerspectiveCamera view projection
WebGLRenderer,webgl_camera_array,https://threejs.org/examples/#webgl_camera_array,primary,Core rendering infrastructure
Scene,webgl_camera_array,https://threejs.org/examples/#webgl_camera_array,primary,Core rendering infrastructure
ArrayCamera,webgl_camera_array,https://threejs.org/examples/#webgl_camera_array,primary,ArrayCamera view projection
WebGLRenderer,webgl_camera_logarithmicdepthbuffer,https://threejs.org/examples/#webgl_camera_logarithmicdepthbuffer,primary,Core rendering infrastructure
Scene,webgl_camera_logarithmicdepthbuffer,https://threejs.org/examples/#webgl_camera_logarithmicdepthbuffer,primary,Core rendering infrastructure
PerspectiveCamera,webgl_camera_logarithmicdepthbuffer,https://threejs.org/examples/#webgl_camera_logarithmicdepthbuffer,primary,PerspectiveCamera view projection
WebGLRenderer,webgl_clipping,https://threejs.org/examples/#webgl_clipping,primary,Core rendering infrastructure
Scene,webgl_clipping,https://threejs.org/examples/#webgl_clipping,primary,Core rendering infrastructure
PerspectiveCamera,webgl_clipping,https://threejs.org/examples/#webgl_clipping,primary,PerspectiveCamera view projection
Plane,webgl_clipping,https://threejs.org/examples/#webgl_clipping,secondary,
WebGLRenderer,webgl_clipping_advanced,https://threejs.org/examples/#webgl_clipping_advanced,primary,Core rendering infrastructure
Scene,webgl_clipping_advanced,https://threejs.org/examples/#webgl_clipping_advanced,primary,Core rendering infrastructure
PerspectiveCamera,webgl_clipping_advanced,https://threejs.org/examples/#webgl_clipping_advanced,primary,PerspectiveCamera view projection
Plane,webgl_clipping_advanced,https://threejs.org/examples/#webgl_clipping_advanced,secondary,
WebGLRenderer,webgl_clipping_intersection,https://threejs.org/examples/#webgl_clipping_intersection,primary,Core rendering infrastructure
Scene,webgl_clipping_intersection,https://threejs.org/examples/#webgl_clipping_intersection,primary,Core rendering infrastructure
PerspectiveCamera,webgl_clipping_intersection,https://threejs.org/examples/#webgl_clipping_intersection,primary,PerspectiveCamera view projection
Plane,webgl_clipping_intersection,https://threejs.org/examples/#webgl_clipping_intersection,secondary,
WebGLRenderer,webgl_clipping_stencil,https://threejs.org/examples/#webgl_clipping_stencil,primary,Core rendering infrastructure
Scene,webgl_clipping_stencil,https://threejs.org/examples/#webgl_clipping_stencil,primary,Core rendering infrastructure
PerspectiveCamera,webgl_clipping_stencil,https://threejs.org/examples/#webgl_clipping_stencil,primary,PerspectiveCamera view projection
Plane,webgl_clipping_stencil,https://threejs.org/examples/#webgl_clipping_stencil,secondary,
WebGLRenderer,webgl_decals,https://threejs.org/examples/#webgl_decals,primary,Core rendering infrastructure
Scene,webgl_decals,https://threejs.org/examples/#webgl_decals,primary,Core rendering infrastructure
PerspectiveCamera,webgl_decals,https://threejs.org/examples/#webgl_decals,primary,PerspectiveCamera view projection
DecalGeometry,webgl_decals,https://threejs.org/examples/#webgl_decals,secondary,
WebGLRenderer,webgl_depth_texture,https://threejs.org/examples/#webgl_depth_texture,primary,Core rendering infrastructure
Scene,webgl_depth_texture,https://threejs.org/examples/#webgl_depth_texture,primary,Core rendering infrastructure
PerspectiveCamera,webgl_depth_texture,https://threejs.org/examples/#webgl_depth_texture,primary,PerspectiveCamera view projection
TextGeometry,webgl_depth_texture,https://threejs.org/examples/#webgl_depth_texture,secondary,
WebGLRenderer,webgl_effects_anaglyph,https://threejs.org/examples/#webgl_effects_anaglyph,primary,Core rendering infrastructure
Scene,webgl_effects_anaglyph,https://threejs.org/examples/#webgl_effects_anaglyph,primary,Core rendering infrastructure
PerspectiveCamera,webgl_effects_anaglyph,https://threejs.org/examples/#webgl_effects_anaglyph,primary,PerspectiveCamera view projection
WebGLRenderer,webgl_effects_ascii,https://threejs.org/examples/#webgl_effects_ascii,primary,Core rendering infrastructure
Scene,webgl_effects_ascii,https://threejs.org/examples/#webgl_effects_ascii,primary,Core rendering infrastructure
PerspectiveCamera,webgl_effects_ascii,https://threejs.org/examples/#webgl_effects_ascii,primary,PerspectiveCamera view projection
WebGLRenderer,webgl_effects_parallaxbarrier,https://threejs.org/examples/#webgl_effects_parallaxbarrier,primary,Core rendering infrastructure
Scene,webgl_effects_parallaxbarrier,https://threejs.org/examples/#webgl_effects_parallaxbarrier,primary,Core rendering infrastructure
PerspectiveCamera,webgl_effects_parallaxbarrier,https://threejs.org/examples/#webgl_effects_parallaxbarrier,primary,PerspectiveCamera view projection
