name,source,category,subcategory,type,url,description,project_tags,domain_tags,production_ready,learning_value,blender_dep,sacred_circuits_relevance,priority_score,related_apis,example_count,notes
AudioContext,web-audio,Web Audio API,Context,api,https://developer.mozilla.org/en-US/docs/Web/API/AudioContext,Represents an audio-processing graph built from linked audio modules,Pantheon|Orbs|Ritual,,1.0,1.0,0.0,1.0,1.0,BaseAudioContext|AudioDestinationNode|AudioListener,0,Core entry point for all Web Audio work
GainNode,web-audio,Web Audio API,Effect Node,api,https://developer.mozilla.org/en-US/docs/Web/API/GainNode,Controls the volume/amplitude of audio passing through it,Pantheon|Orbs|Ritual,,1.0,1.0,0.0,0.9,1.0,AudioParam|AudioNode,0,Essential for deity voice level control and crossfading
AnalyserNode,web-audio,Web Audio API,Analysis Node,api,https://developer.mozilla.org/en-US/docs/Web/API/AnalyserNode,Provides real-time frequency and time-domain analysis data,Orbs|Pantheon,,1.0,1.0,0.0,1.0,1.0,Float32Array|Uint8Array|AudioNode,0,Critical for audio-reactive orb visuals and voice meters
Tone.js,web-audio,Audio Framework,Full Framework,library,https://tonejs.github.io/,Interactive music framework built on Web Audio API for creating music in the browser,Pantheon|Orbs|Ritual,,1.0,1.0,0.0,1.0,1.0,Web Audio API|AudioContext,0,Best-in-class Web Audio abstraction; ideal for sacred soundscapes
Audio,threejs-docs,Reference,Audio,api,https://threejs.org/docs/#api/en/audio/Audio,,Pantheon,audio,1.0,1.0,0.1,0.5,0.98,AudioListener|AudioAnalyser|PositionalAudio,4,
AudioListener,threejs-docs,Reference,Audio,api,https://threejs.org/docs/#api/en/audio/AudioListener,,Pantheon,audio,1.0,1.0,0.1,0.5,0.98,,4,
PerspectiveCamera,threejs-docs,Reference,Cameras,api,https://threejs.org/docs/#api/en/cameras/PerspectiveCamera,,Constellation,rendering,1.0,1.0,0.1,0.5,0.98,OrthographicCamera|CubeCamera|Camera,6,
BufferGeometry,threejs-docs,Reference,Core,api,https://threejs.org/docs/#api/en/core/BufferGeometry,,Orbs,geometry,1.0,1.0,0.1,0.5,0.98,BufferAttribute|Mesh|Material,12,
Object3D,threejs-docs,Reference,Core,api,https://threejs.org/docs/#api/en/core/Object3D,,Orbs,loading,1.0,1.0,0.1,0.5,0.98,Scene|Mesh|Group,18,
Raycaster,threejs-docs,Reference,Core,api,https://threejs.org/docs/#api/en/core/Raycaster,,Ritual,interaction|math,1.0,1.0,0.1,0.5,0.98,Object3D|Camera|Vector2,11,
BoxGeometry,threejs-docs,Reference,Geometries,api,https://threejs.org/docs/#api/en/geometries/BoxGeometry,,Orbs,geometry,1.0,1.0,0.1,0.5,0.98,,18,
PlaneGeometry,threejs-docs,Reference,Geometries,api,https://threejs.org/docs/#api/en/geometries/PlaneGeometry,,Constellation,geometry|math,1.0,1.0,0.1,0.5,0.98,,18,
SphereGeometry,threejs-docs,Reference,Geometries,api,https://threejs.org/docs/#api/en/geometries/SphereGeometry,,Orbs,geometry|math,1.0,1.0,0.1,0.5,0.98,,18,
AmbientLight,threejs-docs,Reference,Lights,api,https://threejs.org/docs/#api/en/lights/AmbientLight,,Orbs,lighting,1.0,1.0,0.1,0.5,0.98,DirectionalLight|HemisphereLight,21,
DirectionalLight,threejs-docs,Reference,Lights,api,https://threejs.org/docs/#api/en/lights/DirectionalLight,,Orbs,lighting,1.0,1.0,0.1,0.5,0.98,DirectionalLightShadow|AmbientLight|PointLight,21,
PointLight,threejs-docs,Reference,Lights,api,https://threejs.org/docs/#api/en/lights/PointLight,,Orbs,lighting,1.0,1.0,0.1,0.5,0.98,PointLightShadow|DirectionalLight|SpotLight,21,
SpotLight,threejs-docs,Reference,Lights,api,https://threejs.org/docs/#api/en/lights/SpotLight,,Orbs,lighting,1.0,1.0,0.1,0.5,0.98,SpotLightShadow|PointLight|DirectionalLight,21,
TextureLoader,threejs-docs,Reference,Loaders,api,https://threejs.org/docs/#api/en/loaders/TextureLoader,,Wall,loading|textures,1.0,1.0,0.1,0.5,0.98,,1,
MeshPhysicalMaterial,threejs-docs,Reference,Materials,api,https://threejs.org/docs/#api/en/materials/MeshPhysicalMaterial,,Orbs,geometry|materials,1.0,1.0,0.1,0.5,0.98,MeshStandardMaterial|Texture|PMREMGenerator,22,
MeshStandardMaterial,threejs-docs,Reference,Materials,api,https://threejs.org/docs/#api/en/materials/MeshStandardMaterial,,Orbs|Ritual,geometry|materials|xr,1.0,1.0,0.1,0.5,0.98,MeshPhysicalMaterial|MeshBasicMaterial|Texture,22,
PointsMaterial,threejs-docs,Reference,Materials,api,https://threejs.org/docs/#api/en/materials/PointsMaterial,,Constellation|Orbs,lighting|materials|particles,1.0,1.0,0.1,0.5,0.98,,22,
ShaderMaterial,threejs-docs,Reference,Materials,api,https://threejs.org/docs/#api/en/materials/ShaderMaterial,,Orbs,materials|rendering,1.0,1.0,0.1,0.5,0.98,RawShaderMaterial|Material|WebGLRenderer,22,
Color,threejs-docs,Reference,Math,api,https://threejs.org/docs/#api/en/math/Color,,Orbs,math,1.0,1.0,0.1,0.5,0.98,Material|Light|Vector3,0,
Vector3,threejs-docs,Reference,Math,api,https://threejs.org/docs/#api/en/math/Vector3,,Orbs,math,1.0,1.0,0.1,0.5,0.98,Vector2|Vector4|Matrix4,0,
InstancedMesh,threejs-docs,Reference,Objects,api,https://threejs.org/docs/#api/en/objects/InstancedMesh,,Orbs,geometry,1.0,1.0,0.1,0.5,0.98,Mesh|BatchedMesh|BufferGeometry,14,
Line,threejs-docs,Reference,Objects,api,https://threejs.org/docs/#api/en/objects/Line,,Constellation,geometry,1.0,1.0,0.1,0.5,0.98,LineBasicMaterial|LineSegments|BufferGeometry,8,
Mesh,threejs-docs,Reference,Objects,api,https://threejs.org/docs/#api/en/objects/Mesh,,Orbs,geometry,1.0,1.0,0.1,0.5,0.98,BufferGeometry|Material|Object3D,18,
Points,threejs-docs,Reference,Objects,api,https://threejs.org/docs/#api/en/objects/Points,,Constellation|Orbs,geometry|lighting|particles,1.0,1.0,0.1,0.5,0.98,PointsMaterial|BufferGeometry|Sprite,8,
Sprite,threejs-docs,Reference,Objects,api,https://threejs.org/docs/#api/en/objects/Sprite,,Orbs,geometry|particles,1.0,1.0,0.1,0.5,0.98,SpriteMaterial|Points|Object3D,5,
Scene,threejs-docs,Reference,Scenes,api,https://threejs.org/docs/#api/en/scenes/Scene,,Orbs,rendering,1.0,1.0,0.1,0.5,0.98,Object3D|Fog|FogExp2,18,
