name,description,url,framework,category,subcategory,project_tags,production_ready,learning_value,sacred_circuits_relevance,language,platform,use_cases,notes
AudioBuffer,Core class for multi-channel audio sample buffer manipulation,https://docs.juce.com/master/classAudioBuffer.html,JUCE,Audio Basics,Buffers,Orbs;Pantheon,true,high,high,C++,cross-platform,Audio storage and manipulation for all processing pipelines,Foundation class for all JUCE audio work
AudioChannelSet,Manages channel layout configuration for mono/stereo/surround,https://docs.juce.com/master/classAudioChannelSet.html,JUCE,Audio Basics,Buffers,Orbs;Ritual,true,medium,medium,C++,cross-platform,Spatial audio channel routing and surround configurations,Important for spatial audio in Ritual experiences
MidiMessage,Core MIDI message creation and parsing,https://docs.juce.com/master/classMidiMessage.html,JUCE,Audio Basics,MIDI,Pantheon;Orbs,true,high,medium,C++,cross-platform,MIDI control of deity voice parameters and oracle interactions,Enables MIDI-triggered oracle events
MidiBuffer,Time-stamped container for MIDI event sequences,https://docs.juce.com/master/classMidiBuffer.html,JUCE,Audio Basics,MIDI,Pantheon;Orbs,true,medium,medium,C++,cross-platform,Buffering MIDI events for real-time deity voice control,Works with MidiMessage for event sequencing
MidiFile,Reading and writing Standard MIDI Files,https://docs.juce.com/master/classMidiFile.html,JUCE,Audio Basics,MIDI,Orbs,true,medium,low,C++,cross-platform,Loading pre-composed MIDI sequences for ambient oracle music,File-based MIDI storage
Synthesiser,Polyphonic synthesizer framework with voice management,https://docs.juce.com/master/classSynthesiser.html,JUCE,Audio Basics,Synthesis,Pantheon;Ritual,true,high,high,C++,cross-platform,Synthesizing deity voice effects and oracle ambient tones,Base class for custom voice synthesis
SynthesiserVoice,Individual voice implementation for polyphonic synthesis,https://docs.juce.com/master/classSynthesiserVoice.html,JUCE,Audio Basics,Synthesis,Pantheon;Ritual,true,high,high,C++,cross-platform,Custom voice rendering for each deity character,Override for deity-specific timbres
MPESynthesiser,MIDI Polyphonic Expression synthesizer for expressive control,https://docs.juce.com/master/classMPESynthesiser.html,JUCE,Audio Basics,MIDI,Ritual,true,medium,medium,C++,cross-platform,Expressive real-time control of oracle sound parameters,Advanced MIDI expression support
FloatVectorOperations,SIMD-optimized vector math operations on audio samples,https://docs.juce.com/master/classFloatVectorOperations.html,JUCE,Audio Basics,Performance,Orbs;Ritual,true,medium,medium,C++,cross-platform,High-performance audio buffer processing,Critical for real-time performance
dsp::FFT,Fast Fourier Transform for spectral analysis and processing,https://docs.juce.com/master/classdsp_1_1FFT.html,JUCE,DSP,Spectral,Orbs;Pantheon,true,high,high,C++,cross-platform,Spectral analysis for audio-reactive 3D visuals and voice analysis,Core of spectral visualization pipeline
dsp::Convolution,Convolution engine for impulse response processing,https://docs.juce.com/master/classdsp_1_1Convolution.html,JUCE,DSP,Effects,Ritual;Pantheon,true,high,high,C++,cross-platform,Sacred space reverb via IR convolution for oracle ambience,Load temple/cave impulse responses
dsp::IIR::Filter,Infinite impulse response filter for real-time audio,https://docs.juce.com/master/classdsp_1_1IIR_1_1Filter.html,JUCE,DSP,Filters,Pantheon;Orbs,true,high,high,C++,cross-platform,Formant filtering for deity voice shaping,Essential for voice character design
dsp::FIR::Filter,Finite impulse response filter for linear-phase processing,https://docs.juce.com/master/classdsp_1_1FIR_1_1Filter.html,JUCE,DSP,Filters,Pantheon;Orbs,true,high,medium,C++,cross-platform,Clean filtering without phase distortion for voice processing,Linear phase preserves voice clarity
dsp::Oscillator,Waveform generator with anti-aliasing for synthesis,https://docs.juce.com/master/classdsp_1_1Oscillator.html,JUCE,DSP,Synthesis,Ritual;Orbs,true,high,high,C++,cross-platform,Generating oracle drone tones and ambient sine/saw waves,Basis for ambient sound design
dsp::Reverb,Algorithmic reverb processor,https://docs.juce.com/master/classdsp_1_1Reverb.html,JUCE,DSP,Effects,Ritual;Pantheon,true,high,high,C++,cross-platform,Adding sacred space ambience to deity voices,Quick reverb without IR loading
dsp::Compressor,Dynamic range compressor,https://docs.juce.com/master/classdsp_1_1Compressor.html,JUCE,DSP,Dynamics,Pantheon,true,high,medium,C++,cross-platform,Leveling deity voice dynamics for consistent oracle delivery,Prevents voice clipping
dsp::Limiter,Peak limiter for output protection,https://docs.juce.com/master/classdsp_1_1Limiter.html,JUCE,DSP,Dynamics,Pantheon;Orbs,true,medium,medium,C++,cross-platform,Output protection for Spirit Sphere speakers,Safety for hardware output
dsp::NoiseGate,Noise gate for removing background noise,https://docs.juce.com/master/classdsp_1_1NoiseGate.html,JUCE,DSP,Dynamics,Pantheon,true,medium,medium,C++,cross-platform,Cleaning deity voice input from ambient noise,Important for voice clarity
dsp::Chorus,Chorus effect processor,https://docs.juce.com/master/classdsp_1_1Chorus.html,JUCE,DSP,Effects,Pantheon;Ritual,true,medium,high,C++,cross-platform,Ethereal chorus on deity voices for otherworldly quality,Deity voice enhancement
dsp::Phaser,Phaser effect processor,https://docs.juce.com/master/classdsp_1_1Phaser.html,JUCE,DSP,Effects,Ritual,true,medium,medium,C++,cross-platform,Psychedelic phase effects for oracle ambience,Ambient sound design
dsp::WaveShaper,Nonlinear waveshaping distortion,https://docs.juce.com/master/classdsp_1_1WaveShaper.html,JUCE,DSP,Effects,Ritual;Pantheon,true,medium,medium,C++,cross-platform,Harmonic saturation for deity voice warmth,Subtle saturation adds character
dsp::DelayLine,Variable-length delay line for echo and effects,https://docs.juce.com/master/classdsp_1_1DelayLine.html,JUCE,DSP,Effects,Ritual,true,high,high,C++,cross-platform,Echo effects for oracle cave ambience and spatial depth,Foundation for delay-based effects
dsp::Panner,Stereo panning processor,https://docs.juce.com/master/classdsp_1_1Panner.html,JUCE,DSP,Spatial,Ritual;Orbs,true,medium,high,C++,cross-platform,Spatial positioning of deity voices in stereo field,Immersive oracle experience
dsp::Oversampling,Oversampling for anti-aliased nonlinear processing,https://docs.juce.com/master/classdsp_1_1Oversampling.html,JUCE,DSP,Performance,Orbs,true,medium,low,C++,cross-platform,Quality improvement for waveshaping and saturation,Reduces aliasing artifacts
dsp::StateVariableTPTFilter,Multi-mode SVF filter (LP/HP/BP/Notch),https://docs.juce.com/master/classdsp_1_1StateVariableTPTFilter.html,JUCE,DSP,Filters,Pantheon;Orbs,true,high,high,C++,cross-platform,Versatile filtering for voice formants and spectral shaping,Most flexible filter type
dsp::LadderFilter,Classic analog-modeled ladder filter,https://docs.juce.com/master/classdsp_1_1LadderFilter.html,JUCE,DSP,Filters,Ritual;Pantheon,true,medium,high,C++,cross-platform,Warm analog-style filtering for oracle ambient pads,Resonant sweep effects
dsp::LinkwitzRileyFilter,Crossover filter for multi-band processing,https://docs.juce.com/master/classdsp_1_1LinkwitzRileyFilter.html,JUCE,DSP,Filters,Orbs,true,medium,medium,C++,cross-platform,Splitting audio into frequency bands for reactive visuals,Multi-band analysis for LED response
dsp::BallisticsFilter,Attack/release envelope follower,https://docs.juce.com/master/classdsp_1_1BallisticsFilter.html,JUCE,DSP,Dynamics,Orbs;Ritual,true,medium,high,C++,cross-platform,Envelope following for audio-reactive LED animations,Smooth level tracking for visuals
dsp::WindowingFunction,Window functions for spectral analysis (Hann/Hamming/Blackman),https://docs.juce.com/master/classdsp_1_1WindowingFunction.html,JUCE,DSP,Spectral,Orbs,true,medium,medium,C++,cross-platform,Windowing for FFT-based spectral visualization,Required for clean FFT analysis
dsp::ProcessorChain,Chain multiple DSP processors in series,https://docs.juce.com/master/classdsp_1_1ProcessorChain.html,JUCE,DSP,Infrastructure,Pantheon;Ritual,true,high,medium,C++,cross-platform,Building deity voice processing chains,Composable signal processing
dsp::DryWetMixer,Blend between dry and wet signal paths,https://docs.juce.com/master/classdsp_1_1DryWetMixer.html,JUCE,DSP,Infrastructure,Pantheon;Ritual,true,medium,medium,C++,cross-platform,Controlling effect intensity on deity voices,Essential for tasteful effects
AudioDeviceManager,Manages audio hardware selection and configuration,https://docs.juce.com/master/classAudioDeviceManager.html,JUCE,Audio Devices,Hardware,Orbs;Ritual,true,high,high,C++,cross-platform,Managing Spirit Sphere audio I/O hardware,Device enumeration and selection
AudioIODevice,Represents a physical audio input/output device,https://docs.juce.com/master/classAudioIODevice.html,JUCE,Audio Devices,Hardware,Orbs,true,medium,medium,C++,cross-platform,Interfacing with Spirit Sphere audio hardware,Low-level device access
MidiInput,Receives MIDI messages from hardware controllers,https://docs.juce.com/master/classMidiInput.html,JUCE,Audio Devices,MIDI Hardware,Pantheon;Orbs,true,medium,medium,C++,cross-platform,Physical MIDI controller input for oracle interactions,Hardware MIDI receive
AudioProcessor,Core base class for audio plugin and standalone processors,https://docs.juce.com/master/classAudioProcessor.html,JUCE,Plugin Hosting,Processor,Pantheon;Ritual,true,high,high,C++,cross-platform,Building standalone deity voice processor application,Foundation for audio app architecture
AudioPluginInstance,Loaded plugin instance for hosting third-party effects,https://docs.juce.com/master/classAudioPluginInstance.html,JUCE,Plugin Hosting,Hosting,Ritual,true,high,medium,C++,cross-platform,Hosting reverb/delay VST plugins for oracle ambience,Load commercial reverbs
AudioProcessorValueTreeState,Thread-safe parameter state with undo and serialization,https://docs.juce.com/master/classAudioProcessorValueTreeState.html,JUCE,Plugin Hosting,Parameters,Pantheon,true,high,medium,C++,cross-platform,Managing deity voice effect parameters with presets,Per-deity parameter presets
AudioFormatManager,Manages audio file format codecs for reading/writing,https://docs.juce.com/master/classAudioFormatManager.html,JUCE,File I/O,Formats,Orbs;Pantheon,true,high,medium,C++,cross-platform,Loading deity voice samples and oracle audio assets,Multi-format file support
AudioFormatReader,Reads audio data from files in various formats,https://docs.juce.com/master/classAudioFormatReader.html,JUCE,File I/O,Formats,Orbs;Pantheon,true,high,medium,C++,cross-platform,Reading WAV/FLAC/OGG oracle sound files,Streaming file reads
AudioTransportSource,Playback transport control with start/stop/seek,https://docs.juce.com/master/classAudioTransportSource.html,JUCE,File I/O,Playback,Orbs;Ritual,true,high,medium,C++,cross-platform,Controlling oracle audio playback with transport,Play/pause/seek for audio files
PitchYin,Fundamental frequency estimation using YIN algorithm,https://essentia.upf.edu/reference/std_PitchYin.html,Essentia,Pitch,Detection,Pantheon,true,high,high,C++;Python,cross-platform,Detecting deity voice pitch for real-time visualization,Classic monophonic pitch detection
PitchYinFFT,FFT-based YIN pitch estimation for faster processing,https://essentia.upf.edu/reference/std_PitchYinFFT.html,Essentia,Pitch,Detection,Pantheon,true,high,high,C++;Python,cross-platform,Fast pitch tracking for deity voice analysis,More efficient than time-domain YIN
PitchMelodia,Predominant melody extraction using MELODIA algorithm,https://essentia.upf.edu/reference/std_PitchMelodia.html,Essentia,Pitch,Melody,Pantheon,true,high,high,C++;Python,cross-platform,Extracting melody contour from deity voice recordings,State-of-the-art melody extraction
PitchCREPE,Deep learning pitch estimation using CREPE neural network,https://essentia.upf.edu/reference/std_PitchCREPE.html,Essentia,Pitch,Detection,Pantheon,true,high,high,C++;Python,cross-platform,ML-based pitch detection for deity voice analysis,Most accurate pitch method available
Vibrato,Detects vibrato presence and estimates rate/extent,https://essentia.upf.edu/reference/std_Vibrato.html,Essentia,Pitch,Analysis,Pantheon,true,medium,high,C++;Python,cross-platform,Analyzing vibrato in deity voice performances,Voice expressiveness metric
MFCC,Mel-frequency cepstral coefficients for timbre analysis,https://essentia.upf.edu/reference/std_MFCC.html,Essentia,Spectral,Cepstral,Pantheon;Orbs,true,high,high,C++;Python;JavaScript,cross-platform,Voice timbre fingerprinting for deity identification,Core feature for voice classification
MelBands,Energy distribution across perceptual mel frequency bands,https://essentia.upf.edu/reference/std_MelBands.html,Essentia,Spectral,Bands,Orbs,true,high,high,C++;Python;JavaScript,cross-platform,Mel-scale spectral visualization for audio-reactive LEDs,Perceptually-weighted spectrum display
BarkBands,Energy in Bark-scale critical frequency bands,https://essentia.upf.edu/reference/std_BarkBands.html,Essentia,Spectral,Bands,Orbs,true,high,medium,C++;Python,cross-platform,Psychoacoustic band analysis for LED frequency mapping,Alternative to mel bands
