name,description,url,category,tool_type,project_tags,production_ready,learning_value,blender_dep,sacred_circuits_relevance,related_threejs_apis,notes
Spline,3D design tool for interactive web experiences with real-time collaboration,https://spline.design,3D Modeling,editor,Pantheon|Orbs|Wall,true,medium,false,high,Scene|Mesh|Material,Browser-based; exports to Three.js directly
Blender,Free open-source 3D creation suite for modeling animation rendering,https://blender.org,3D Modeling,editor,Pantheon|Constellation|Orbs,true,high,true,critical,GLTFLoader|BufferGeometry,Primary modeling tool for Sacred Circuits asset pipeline
Womp,Simplified browser-based 3D creation tool with intuitive interface,https://womp.com,3D Modeling,editor,Pantheon|Orbs,true,medium,false,medium,GLTFLoader|Mesh,Quick prototyping for simple deity assets
Plasticity,Modern CAD tool for precise 3D modeling with NURBS,https://plasticity.xyz,3D Modeling,editor,Constellation|Orbs,true,low,false,low,BufferGeometry|GLTFLoader,Precision modeling for geometric sacred forms
Smooth Voxels,Converts voxel models into smooth organic 3D shapes,https://smoothvoxels.glitch.me,3D Modeling,generator,Orbs|Constellation,false,medium,false,medium,BufferGeometry|Mesh,Interesting for generative deity forms
Rodin,AI model generator for 3D assets from text or image prompts,https://hyperhuman.deemos.com/rodin,3D Modeling,generator,Pantheon|Orbs,false,medium,false,high,GLTFLoader|Mesh,AI-generated deity models for rapid prototyping
Sam3d,AI-powered tool converting pictures to detailed 3D models,https://sam3d.app,3D Modeling,generator,Pantheon,false,medium,false,medium,GLTFLoader|Mesh,Photo-to-3D for deity reference assets
GSAP,High-performance timeline animation library for web,https://greensock.com/gsap,Animation,library,Pantheon|Wall|Ritual,true,high,false,critical,AnimationMixer|Clock,Essential for UI transitions and camera choreography
Anime.js,Powerful lightweight animation library for 2D UI and 3D scenes,https://animejs.com,Animation,library,Wall|Pantheon,true,medium,false,high,AnimationMixer|Clock,Alternative to GSAP for simpler animations
Theatre.js,Motion design library for animating 3D scenes with visual timeline,https://theatrejs.com,Animation,editor,Pantheon|Orbs|Ritual,true,high,false,critical,AnimationMixer|Camera|Object3D,Visual keyframe editor for deity animations
Mixamo,Free 3D character animations and auto-rigging from Adobe,https://mixamo.com,Animation,library,Pantheon,true,high,false,critical,SkeletonUtils|AnimationMixer|BVHLoader,Pre-built deity character animations
Cascadeur,AI-assisted physics-based character animation software,https://cascadeur.com,Animation,editor,Pantheon,true,medium,false,high,AnimationMixer|SkeletonHelper,Physics-accurate deity movement
AccuRIG,Auto rigging tool for 3D character models,https://actorcore.reallusion.com/auto-rig,Animation,utility,Pantheon,true,medium,false,high,Skeleton|Bone|SkeletonHelper,Fast rigging for deity character models
Deepmotion,AI motion capture from video or text descriptions,https://deepmotion.com,Animation,generator,Pantheon|Ritual,true,medium,false,high,AnimationMixer|SkeletonUtils,Video-to-mocap for deity animations
Mesh2motion,Rig and animate 3D models directly in the browser,https://mesh2motion.com,Animation,editor,Pantheon,false,medium,false,medium,Skeleton|AnimationMixer,Browser-based rigging alternative
React Three Fiber,React renderer for Three.js creating declarative 3D scenes,https://docs.pmnd.rs/react-three-fiber,Framework,framework,Pantheon|Orbs|Wall|Constellation|Ritual,true,high,false,critical,WebGLRenderer|Scene|Camera,Primary React integration for all Sacred Circuits web
Drei,Collection of reusable helpers and abstractions for R3F,https://drei.pmnd.rs,Framework,library,Pantheon|Orbs|Wall|Constellation,true,high,false,critical,Various,Essential companion to React Three Fiber
Threlte,Three.js framework for Svelte with declarative components,https://threlte.xyz,Framework,framework,Wall,true,medium,false,low,Scene|WebGLRenderer,Svelte alternative to R3F
Tres.js,Declarative Vue.js framework for Three.js scenes,https://tresjs.org,Framework,framework,Wall,true,medium,false,low,Scene|WebGLRenderer,Vue alternative to R3F
A-Frame,Web framework for building 3D and VR experiences with HTML,https://aframe.io,VR/AR/XR,framework,Ritual,true,high,false,medium,WebGLRenderer|WebXRManager,WebXR foundation for ritual experiences
Hyperfy,WebXR platform for persistent 3D virtual worlds,https://hyperfy.io,VR/AR/XR,framework,Ritual,true,medium,false,medium,WebXRManager|Scene,Persistent XR world hosting
Zappar,Augmented reality platform for web and mobile experiences,https://zap.works,VR/AR/XR,framework,Ritual,true,medium,false,medium,WebXRManager|Camera,AR overlay for card scanning
Spector.js,WebGL scene inspection and debugging tool,https://spector.babylonjs.com,Performance,debugger,Pantheon|Orbs|Constellation,true,high,false,high,WebGLRenderer,Essential for debugging render pipeline
Stats.js,Lightweight JavaScript performance monitor showing FPS,https://github.com/mrdoob/stats.js,Performance,debugger,Pantheon|Orbs|Constellation,true,high,false,high,WebGLRenderer|Clock,Standard FPS counter for development
Three.js DevTools,Browser extension for inspecting Three.js scene graphs,https://github.com/nicedoc/three-devtools,Performance,debugger,Pantheon|Orbs|Constellation|Wall,true,high,false,critical,Scene|Object3D|Material,Chrome extension for scene debugging
Needle Inspector,Chrome extension for inspecting Needle Engine projects,https://needle.tools,Performance,debugger,Pantheon|Orbs,true,medium,false,medium,Scene|WebGLRenderer,Alternative scene inspector
Shadertoy,Community platform for creating and sharing GLSL shaders,https://shadertoy.com,Shaders,editor,Orbs|Constellation,true,high,false,high,ShaderMaterial|RawShaderMaterial,Shader prototyping and inspiration
Nodetoy,Visual node-based shader editor for WebGL,https://nodetoy.io,Shaders,editor,Orbs|Constellation,true,high,false,high,ShaderMaterial|NodeMaterial,Visual shader creation without code
